date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:53:54	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Mar%202020%2020:53:54%20GMT	https://emedia.rmit.edu.au/robots.txt		(from )
07:53:54	7654/7654	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202020%2020:53:55%20GMT	https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/index4b4d.html	(from )
07:53:54	9457/9457	---M--	200	added ('OK')	text/css	etag:%2224f1-5749b5a1c2226%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5pde48.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:54	20536/20536	---M--	200	added ('OK')	application/javascript	etag:%225038-589d867a76176%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min.js?ver=1	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min68b3.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:55	53266/53266	---MC-	200	added ('OK')	application/json	date:Sun,%2001%20Mar%202020%2020:53:56%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=/	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/index52f0.json	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:56	73/73	---M--	404	error ('Not%20Found')	application/json	date:Sun,%2001%20Mar%202020%2020:53:57%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fkey-principles	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/index4355.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:57	132/132	---M--	404	error ('Not%20Found')	text/xml	date:Sun,%2001%20Mar%202020%2020:53:57%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fkey-principles&format=xml	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/indexce42.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:57	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2215283-589d867a703b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:58	48716/48716	---M--	200	added ('OK')	application/javascript	etag:%22be4c-589d867a7079e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
07:53:58	489262/489262	---M--	200	added ('OK')	text/css	etag:%227772e-589d867a609b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	C:/xampp/htdocs/wtif-fssi/eoc-kp/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/key-principles)
